touch_id,customer_id,campaign_name,channel,sent_date,opened,converted
MKT800001,C100000,Black Friday 2025,SMS,2024-12-03,1,1
MKT800002,C100000,Loyalty Rewards Q2 2026,Social Media Ad,2024-06-01,0,1
MKT800003,C100000,Summer Sale 2025,Push Notification,2021-06-18,1,0
MKT800004,C100000,Spring Refresh 2026,Social Media Ad,2022-10-29,1,0
MKT800005,C100001,Flash Sale July 2026,Push Notification,2024-05-13,1,1
MKT800006,C100001,Loyalty Rewards Q2 2026,Social Media Ad,2021-03-04,1,0
MKT800007,C100001,Flash Sale July 2026,Email,2024-01-26,1,0
MKT800008,C100001,Black Friday 2025,Social Media Ad,2022-06-20,1,0
MKT800009,C100001,Summer Sale 2025,Email,2024-05-27,1,0
MKT800010,C100001,Black Friday 2025,Push Notification,2021-04-23,1,0
MKT800011,C100001,Flash Sale July 2026,Push Notification,2022-01-19,1,1
MKT800012,C100001,Spring Refresh 2026,Email,2026-06-04,1,0
MKT800013,C100002,Black Friday 2025,Social Media Ad,2025-12-27,0,0
MKT800014,C100002,Spring Refresh 2026,Email,2022-10-11,0,0
MKT800015,C100002,New Year 2026,Push Notification,2025-11-04,1,0
MKT800016,C100002,Summer Sale 2025,SMS,2025-06-16,1,0
MKT800017,C100002,Diwali Offer 2025,Search Ad,2025-05-03,1,0
MKT800018,C100003,Flash Sale July 2026,SMS,2022-07-09,0,0
MKT800019,C100003,Spring Refresh 2026,Social Media Ad,2025-07-08,0,0
MKT800020,C100003,Flash Sale July 2026,Email,2023-07-09,0,0
MKT800021,C100004,Spring Refresh 2026,SMS,2021-10-15,0,0
MKT800022,C100005,Summer Sale 2025,Social Media Ad,2023-10-02,1,1
MKT800023,C100005,Summer Sale 2025,SMS,2022-08-05,1,0
MKT800024,C100006,Flash Sale July 2026,Search Ad,2023-10-30,1,0
MKT800025,C100006,Summer Sale 2025,Push Notification,2024-09-29,0,0
MKT800026,C100006,Spring Refresh 2026,Search Ad,2023-12-13,1,0
MKT800027,C100006,Flash Sale July 2026,Search Ad,2024-01-03,0,0
MKT800028,C100007,Diwali Offer 2025,Search Ad,2024-03-05,1,0
MKT800029,C100007,Diwali Offer 2025,Email,2022-03-03,1,0
MKT800030,C100007,Black Friday 2025,Push Notification,2026-02-20,1,0
MKT800031,C100007,Flash Sale July 2026,Push Notification,2024-07-17,0,1
MKT800032,C100007,Black Friday 2025,Search Ad,2026-02-23,0,1
MKT800033,C100007,New Year 2026,Push Notification,2023-12-02,1,1
MKT800034,C100007,Spring Refresh 2026,Social Media Ad,2021-12-27,1,0
MKT800035,C100007,Loyalty Rewards Q2 2026,SMS,2022-02-18,1,0
MKT800036,C100008,New Year 2026,Email,2025-06-06,0,0
MKT800037,C100008,Black Friday 2025,Search Ad,2024-04-21,0,0
MKT800038,C100008,Flash Sale July 2026,Social Media Ad,2025-02-03,1,0
MKT800039,C100009,Spring Refresh 2026,Search Ad,2025-12-20,0,0
MKT800040,C100009,Diwali Offer 2025,Social Media Ad,2023-04-02,1,0
MKT800041,C100009,New Year 2026,Email,2022-12-28,1,0
MKT800042,C100009,Summer Sale 2025,Social Media Ad,2022-03-09,0,0
MKT800043,C100010,Black Friday 2025,Social Media Ad,2022-08-28,1,0
