ticket_id,customer_id,ticket_date,ticket_type,resolution_time_hours,csat_score,escalated
TKT700001,C100000,2022-06-03,Return Request,14.1,2,0
TKT700002,C100001,2024-07-28,Return Request,28.9,3,0
TKT700003,C100002,2025-02-22,General Inquiry,18.7,3,1
TKT700004,C100002,2024-05-17,Product Defect,5.4,2,0
TKT700005,C100004,2025-02-23,General Inquiry,17.6,3,0
TKT700006,C100005,2026-07-08,Delivery Delay,35.0,1,0
TKT700007,C100005,2025-10-07,Refund Request,6.4,1,1
TKT700008,C100008,2025-08-11,Delivery Delay,6.1,2,0
TKT700009,C100008,2024-01-27,Account Access,40.5,2,1
TKT700010,C100008,2025-03-13,Delivery Delay,11.0,1,0
TKT700011,C100008,2024-01-22,Product Defect,12.6,1,0
TKT700012,C100008,2023-11-25,Account Access,4.2,1,0
TKT700013,C100009,2022-06-02,General Inquiry,6.2,2,0
TKT700014,C100010,2026-08-08,General Inquiry,4.8,3,0
TKT700015,C100011,2024-01-11,Billing Issue,26.1,1,0
TKT700016,C100011,2023-07-01,Delivery Delay,12.8,1,0
TKT700017,C100012,2025-03-13,Billing Issue,29.0,2,0
TKT700018,C100015,2025-07-21,Delivery Delay,2.7,3,0
TKT700019,C100015,2025-09-22,Technical Support,12.8,3,0
TKT700020,C100017,2025-09-26,Refund Request,18.1,3,0
TKT700021,C100017,2025-11-21,Product Defect,18.3,3,0
TKT700022,C100018,2024-06-29,Product Defect,10.0,3,0
TKT700023,C100018,2022-05-23,General Inquiry,10.4,4,1
TKT700024,C100021,2024-07-14,General Inquiry,10.1,1,0
TKT700025,C100021,2025-09-20,Technical Support,10.3,1,1
TKT700026,C100021,2024-08-23,Technical Support,25.1,2,1
TKT700027,C100022,2025-04-28,General Inquiry,10.8,1,0
TKT700028,C100024,2024-02-11,Account Access,12.5,3,0
TKT700029,C100025,2023-04-17,Refund Request,1.9,1,0
TKT700030,C100025,2025-03-25,Billing Issue,8.5,1,1
TKT700031,C100025,2024-04-23,Billing Issue,40.7,2,0
TKT700032,C100025,2026-06-02,Billing Issue,12.9,1,0
TKT700033,C100026,2025-06-24,General Inquiry,11.6,2,0
TKT700034,C100027,2025-03-24,Account Access,12.4,3,0
TKT700035,C100027,2024-04-21,Technical Support,10.2,2,0
TKT700036,C100028,2025-07-21,Technical Support,25.5,1,0
TKT700037,C100028,2025-10-13,Account Access,27.1,2,0
TKT700038,C100028,2026-02-22,Technical Support,7.4,1,0
TKT700039,C100028,2026-04-18,Technical Support,0.9,2,0
TKT700040,C100028,2026-04-02,General Inquiry,58.1,2,0
TKT700041,C100028,2025-06-05,Delivery Delay,6.2,1,0
TKT700042,C100029,2024-11-29,Billing Issue,10.6,1,0
TKT700043,C100029,2022-08-14,General Inquiry,35.3,1,0
TKT700044,C100029,2022-12-06,Account Access,4.8,1,0
TKT700045,C100029,2024-04-17,Account Access,32.0,1,0
TKT700046,C100029,2025-01-06,Delivery Delay,42.0,1,0
TKT700047,C100030,2025-07-20,Billing Issue,32.4,1,0
TKT700048,C100031,2026-06-24,Delivery Delay,25.1,2,0
TKT700049,C100033,2025-06-04,Product Defect,0.9,4,0
TKT700050,C100034,2025-05-27,Product Defect,8.4,1,1
TKT700051,C100034,2025-08-08,Delivery Delay,18.1,1,0
TKT700052,C100034,2025-03-08,Account Access,13.3,1,0
TKT700053,C100035,2026-08-08,Refund Request,2.8,2,0
TKT700054,C100035,2025-03-25,Return Request,0.9,1,0
TKT700055,C100035,2026-06-16,Refund Request,19.4,5,0
TKT700056,C100035,2026-01-26,General Inquiry,9.0,4,0
TKT700057,C100037,2025-05-05,Technical Support,4.7,4,0
TKT700058,C100039,2023-03-11,Refund Request,5.7,1,0
TKT700059,C100039,2026-04-26,General Inquiry,16.5,1,0
TKT700060,C100041,2024-12-17,General Inquiry,32.3,2,0
TKT700061,C100041,2024-08-14,Technical Support,1.6,2,1
TKT700062,C100041,2025-07-29,Return Request,24.7,1,0
TKT700063,C100041,2024-01-11,Delivery Delay,6.4,2,0
TKT700064,C100042,2023-11-21,Return Request,9.0,1,0
TKT700065,C100042,2025-09-28,Product Defect,6.2,2,0
TKT700066,C100042,2023-02-17,Account Access,22.0,1,0
TKT700067,C100042,2023-07-28,Delivery Delay,22.4,2,1
TKT700068,C100043,2026-03-02,General Inquiry,22.3,5,0
TKT700069,C100044,2023-10-04,Billing Issue,25.8,2,0
TKT700070,C100045,2025-08-27,General Inquiry,2.2,4,0
TKT700071,C100047,2024-10-25,Refund Request,18.3,1,0
TKT700072,C100047,2023-11-09,Account Access,5.0,1,0
TKT700073,C100047,2025-03-30,Return Request,3.4,1,0
TKT700074,C100048,2024-05-17,Product Defect,11.1,2,0
TKT700075,C100050,2023-09-01,Billing Issue,35.0,3,0
TKT700076,C100050,2024-01-19,Return Request,29.6,3,0
TKT700077,C100051,2025-07-18,Return Request,3.3,3,0
TKT700078,C100052,2025-10-04,Account Access,4.6,3,0
TKT700079,C100053,2025-05-27,Product Defect,7.7,2,0
TKT700080,C100054,2025-02-18,Delivery Delay,4.7,2,0
TKT700081,C100055,2025-09-19,Billing Issue,13.5,4,0
TKT700082,C100057,2026-07-22,Product Defect,22.4,3,0
TKT700083,C100059,2024-07-26,Delivery Delay,11.4,1,0
TKT700084,C100061,2026-02-28,Account Access,47.6,1,1
TKT700085,C100061,2025-11-07,Return Request,17.9,2,0
TKT700086,C100061,2025-03-17,Return Request,30.3,2,0
TKT700087,C100061,2025-01-24,Product Defect,1.2,1,0
TKT700088,C100061,2025-07-06,Product Defect,35.3,2,0
TKT700089,C100062,2025-02-03,Delivery Delay,7.7,1,0
TKT700090,C100062,2021-07-12,Refund Request,18.4,2,0
TKT700091,C100063,2025-01-15,Billing Issue,7.6,3,1
TKT700092,C100063,2023-05-05,Return Request,5.1,2,1
TKT700093,C100065,2024-12-27,Account Access,34.0,3,0
TKT700094,C100067,2024-10-07,Return Request,1.5,4,0
TKT700095,C100067,2025-05-04,Refund Request,14.3,3,0
TKT700096,C100068,2021-08-20,Technical Support,7.7,3,0
TKT700097,C100069,2026-02-26,Account Access,2.6,5,0
TKT700098,C100070,2026-04-20,Account Access,9.0,1,0
TKT700099,C100070,2026-08-03,Refund Request,36.5,2,0
TKT700100,C100070,2026-02-22,Refund Request,20.5,1,0
TKT700101,C100071,2023-10-11,Delivery Delay,5.5,3,1
TKT700102,C100071,2022-04-14,Delivery Delay,29.3,1,0
TKT700103,C100072,2022-07-10,Return Request,16.1,3,0
TKT700104,C100075,2025-03-15,Delivery Delay,2.1,2,1
TKT700105,C100075,2025-07-30,Delivery Delay,18.8,1,1
TKT700106,C100078,2024-07-23,Account Access,3.0,3,0
TKT700107,C100078,2023-02-06,Product Defect,3.9,2,0
TKT700108,C100079,2023-11-18,Delivery Delay,9.9,3,0
TKT700109,C100079,2024-08-16,Refund Request,7.0,2,0
TKT700110,C100079,2026-02-25,Return Request,7.3,3,0
TKT700111,C100081,2026-07-19,General Inquiry,12.8,2,0
TKT700112,C100084,2022-04-04,Delivery Delay,20.3,4,0
TKT700113,C100087,2026-04-29,Refund Request,8.0,3,0
TKT700114,C100087,2025-07-11,Account Access,27.3,4,0
TKT700115,C100088,2025-08-31,Account Access,13.5,2,0
TKT700116,C100092,2025-01-29,Delivery Delay,5.6,3,0
TKT700117,C100093,2024-05-01,Delivery Delay,10.8,2,0
TKT700118,C100093,2025-05-12,Technical Support,13.2,2,1
TKT700119,C100094,2024-05-05,Refund Request,13.1,2,0
TKT700120,C100096,2025-04-07,Billing Issue,3.2,2,0
TKT700121,C100096,2024-03-25,General Inquiry,5.3,1,1
TKT700122,C100096,2025-06-06,Return Request,4.9,2,0
TKT700123,C100097,2025-12-20,Product Defect,25.1,2,0
TKT700124,C100097,2026-05-18,Product Defect,14.7,1,0
TKT700125,C100098,2025-07-24,Billing Issue,4.2,1,0
TKT700126,C100098,2025-06-11,Technical Support,25.2,1,0
TKT700127,C100099,2026-01-18,Billing Issue,5.6,2,0
TKT700128,C100099,2023-01-23,Refund Request,28.9,3,0
TKT700129,C100099,2023-07-23,Billing Issue,25.3,1,1
TKT700130,C100103,2026-01-16,Account Access,51.4,1,0
TKT700131,C100103,2026-04-17,Technical Support,30.1,1,0
TKT700132,C100104,2023-10-24,Technical Support,3.2,1,0
TKT700133,C100104,2025-10-31,Technical Support,16.1,1,0
TKT700134,C100104,2026-03-11,Delivery Delay,9.8,1,0
TKT700135,C100104,2025-02-12,Billing Issue,10.8,3,1
TKT700136,C100108,2024-07-31,Product Defect,8.5,1,0
TKT700137,C100110,2025-10-26,Return Request,16.2,3,0
TKT700138,C100110,2026-06-08,Delivery Delay,18.2,2,1
TKT700139,C100112,2025-07-31,Account Access,35.1,1,1
TKT700140,C100112,2025-10-24,Delivery Delay,7.3,1,0
TKT700141,C100112,2026-06-26,Billing Issue,7.8,1,0
