session_id,customer_id,session_date,pages_viewed,time_on_site_min,device,added_to_cart,traffic_source
WEB900001,C100000,2025-02-21,7,10.0,Desktop,0,Social
WEB900002,C100000,2025-08-20,7,7.1,Mobile,0,Paid Search
WEB900003,C100000,2025-09-22,7,8.1,Mobile,0,Email
WEB900004,C100000,2025-08-23,4,4.8,Mobile,1,Social
WEB900005,C100000,2022-07-23,7,9.2,Mobile,1,Organic Search
WEB900006,C100000,2024-11-10,6,5.3,Tablet,1,Paid Search
WEB900007,C100000,2025-02-12,6,5.4,Mobile,1,Direct
WEB900008,C100000,2023-01-24,9,5.5,Mobile,0,Organic Search
WEB900009,C100000,2023-06-28,8,5.6,Mobile,1,Direct
WEB900010,C100000,2022-03-02,9,9.4,Desktop,1,Direct
WEB900011,C100000,2025-04-02,7,6.0,Desktop,1,Social
WEB900012,C100000,2025-01-12,8,6.2,Mobile,1,Organic Search
WEB900013,C100000,2022-04-08,10,10.9,Desktop,1,Social
WEB900014,C100000,2023-06-18,5,7.0,Desktop,1,Organic Search
WEB900015,C100000,2023-06-13,8,4.4,Mobile,1,Organic Search
WEB900016,C100000,2024-12-31,10,7.4,Mobile,0,Social
WEB900017,C100001,2024-06-06,10,9.2,Desktop,0,Organic Search
WEB900018,C100001,2022-04-29,9,7.4,Mobile,0,Paid Search
WEB900019,C100001,2023-05-28,18,11.0,Mobile,0,Direct
WEB900020,C100001,2025-06-27,5,3.1,Desktop,0,Direct
WEB900021,C100001,2023-03-09,6,9.9,Mobile,0,Social
WEB900022,C100001,2024-04-19,8,11.3,Mobile,0,Paid Search
WEB900023,C100001,2022-10-06,8,6.8,Mobile,0,Direct
WEB900024,C100001,2026-07-04,10,9.7,Mobile,1,Paid Search
WEB900025,C100001,2026-01-10,6,4.2,Mobile,0,Social
WEB900026,C100001,2022-08-24,15,10.1,Mobile,0,Social
WEB900027,C100001,2023-12-28,5,11.2,Tablet,0,Organic Search
WEB900028,C100001,2022-06-30,10,6.9,Mobile,0,Email
WEB900029,C100001,2024-10-15,7,5.2,Tablet,0,Organic Search
WEB900030,C100001,2023-01-10,10,5.9,Mobile,0,Direct
WEB900031,C100001,2022-12-24,5,8.1,Mobile,0,Email
WEB900032,C100001,2026-02-28,7,7.3,Mobile,0,Email
WEB900033,C100001,2023-12-18,5,5.6,Mobile,0,Organic Search
WEB900034,C100001,2022-06-13,8,7.2,Tablet,0,Social
WEB900035,C100001,2022-07-29,5,5.0,Desktop,0,Direct
WEB900036,C100002,2023-12-10,4,5.8,Desktop,0,Paid Search
WEB900037,C100002,2026-08-07,9,11.1,Tablet,0,Social
WEB900038,C100002,2025-02-16,5,8.0,Desktop,0,Organic Search
WEB900039,C100002,2023-11-26,13,9.5,Mobile,1,Organic Search
WEB900040,C100002,2023-11-29,5,4.5,Desktop,1,Email
WEB900041,C100002,2024-05-12,8,6.0,Mobile,0,Social
WEB900042,C100002,2026-07-31,8,8.6,Mobile,0,Organic Search
WEB900043,C100002,2024-04-15,6,4.4,Desktop,0,Social
WEB900044,C100002,2024-11-03,4,3.0,Mobile,0,Direct
WEB900045,C100002,2026-03-17,5,4.0,Desktop,0,Direct
WEB900046,C100002,2024-11-17,8,8.7,Mobile,0,Direct
WEB900047,C100002,2024-02-18,8,5.8,Mobile,0,Organic Search
WEB900048,C100002,2026-04-15,6,7.4,Mobile,0,Email
WEB900049,C100002,2023-12-25,9,11.6,Mobile,0,Organic Search
WEB900050,C100002,2025-01-19,9,9.6,Mobile,0,Organic Search
WEB900051,C100003,2025-06-29,6,4.6,Desktop,0,Social
