order_month,revenue,orders,unique_customers
2021-10,459.99,1,1
2021-11,114.97999999999999,1,1
2021-12,459.99,1,1
2022-01,1902.37,5,4
2022-02,687.44,3,3
2022-03,2402.36,9,8
2022-04,2200.37,9,9
2022-05,2854.27,12,10
2022-06,4490.7,19,16
2022-07,4367.72,13,13
2022-08,4924.13,17,17
2022-09,11038.9,36,36
2022-10,12633.58,49,42
2022-11,12175.39,48,42
2022-12,10900.99,47,45
2023-01,18726.81,57,54
2023-02,14424.89,61,56
2023-03,20020.83,83,76
2023-04,18601.34,82,74
2023-05,22789.2,95,88
2023-06,32224.27,116,103
2023-07,28897.02,111,102
2023-08,29101.82,112,103
2023-09,36108.21,150,132
2023-10,42379.590000000004,174,153
2023-11,42995.28,168,145
2023-12,42448.4,189,170
2024-01,59531.51,231,213
2024-02,50689.73,209,191
2024-03,67104.18000000001,237,215
2024-04,69422.07,265,249
2024-05,66770.46,280,251
2024-06,80927.26,335,293
2024-07,82832.71,322,284
2024-08,89610.37,369,331
2024-09,92712.93000000001,371,339
2024-10,95545.82,379,349
2024-11,101813.65000000001,410,382
2024-12,114770.47,448,410
2025-01,121224.57,457,406
2025-02,116418.78,440,405
2025-03,150954.9,598,522
2025-04,130623.99,512,457
2025-05,141300.1,564,508
2025-06,148451.52000000002,565,498
2025-07,169417.78,647,584
2025-08,169417.13,639,583
2025-09,174875.61000000002,687,623
2025-10,190831.91,732,663
2025-11,189109.51,714,647
2025-12,238849.09,892,804
2026-01,197568.96,796,711
2026-02,195574.5,764,707
2026-03,229155.97,873,783
2026-04,231790.47,891,796
2026-05,223513.54,856,764
2026-06,228848.35,904,823
2026-07,260795.72,988,882
2026-08,104375.3,410,399
