order_month,revenue,orders,unique_customers
2021-08,125.97999999999999,2,2
2021-10,809.98,2,1
2021-11,129.99,1,1
2021-12,312.94,3,2
2022-01,2049.37,4,4
2022-02,978.44,5,5
2022-03,2054.87,7,6
2022-04,3108.8,12,11
2022-05,3642.83,7,7
2022-06,6661.61,19,16
2022-07,7211.26,22,21
2022-08,6671.9800000000005,27,24
2022-09,8797.0,26,22
2022-10,14752.64,49,42
2022-11,12663.2,43,35
2022-12,10205.03,37,32
2023-01,15218.6,53,47
2023-02,13070.39,53,46
2023-03,17947.4,60,56
2023-04,20641.68,83,72
2023-05,22198.45,103,97
2023-06,26542.02,96,88
2023-07,28731.63,113,101
2023-08,28872.48,119,111
2023-09,37820.020000000004,157,144
2023-10,40044.98,157,144
2023-11,32070.14,143,131
2023-12,46560.19,185,166
2024-01,68309.45,242,213
2024-02,60288.51,220,202
2024-03,62217.82,239,220
2024-04,69274.11,263,242
2024-05,71676.55,305,273
2024-06,75408.66,292,260
2024-07,94703.86,357,317
2024-08,101270.51000000001,401,357
2024-09,102963.37,392,350
2024-10,106849.22,419,381
2024-11,98221.12,382,346
2024-12,107720.35,437,391
2025-01,124440.86,479,433
2025-02,113682.85,453,408
2025-03,138345.24,536,490
2025-04,115832.98,494,450
2025-05,147507.75,579,520
2025-06,143716.75,569,501
2025-07,166120.83000000002,650,583
2025-08,172103.86000000002,646,583
2025-09,149477.15,633,565
2025-10,185767.83000000002,744,676
2025-11,195288.93,750,676
2025-12,193051.95,775,691
2026-01,197585.62,807,720
2026-02,184025.44,763,696
2026-03,242059.5,884,793
2026-04,208476.57,817,742
2026-05,230760.19,906,814
2026-06,226827.93,893,807
2026-07,237223.18,947,862
2026-08,108346.73,417,400
